game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus,wl,point_difference
4,2003-11-05,18-310,CLE,DEN,L (-4),41:00,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,7,11.2,-3,L,4
5,2003-11-07,18-312,CLE,IND,L (-1),44:00,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,23,9.0,-7,L,1
8,2003-11-12,18-317,CLE,MIA,L (-5),42:00,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,18,12.8,-4,L,5
10,2003-11-15,18-320,CLE,PHI,W (+3),47:00,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,22,15.6,8,W,3
16,2003-11-28,18-333,CLE,DET,L (-4),36:00,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,7,0,0,4,6,1.1,-10,L,4
25,2003-12-17,18-352,CLE,HOU,L (-4),36:00,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,17,5.7,-9,L,4
32,2003-12-30,19-000,CLE,IND,L (-3),38:00,9,20,0.45,0,4,0.0,4,6,0.667,2,8,10,4,0,0,4,22,12.6,-2,L,3
41,2004-01-26,19-027,CLE,ORL,W (+1),30:00,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,16,5.5,-10,W,1
42,2004-01-28,19-029,CLE,MIA,W (+1),44:00,10,25,0.4,0,1,0.0,7,10,0.7,0,5,5,4,2,1,1,27,17.9,2,W,1
44,2004-02-01,19-033,CLE,WAS,W (+4),43:00,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,38,23.5,0,W,4
45,2004-02-03,19-035,CLE,DET,W (+3),38:00,5,19,0.263,0,1,0.0,2,2,1.0,1,3,4,6,2,0,1,12,6.7,-1,W,3
46,2004-02-04,19-036,CLE,LAL,L (-5),43:00,12,26,0.462,4,4,1.0,4,5,0.8,0,4,4,4,0,0,0,32,22.2,-2,L,5
52,2004-02-20,19-052,CLE,SAS,W (+2),39:00,14,23,0.609,0,0,,4,4,1.0,2,9,11,2,2,1,2,32,27.7,3,W,2
54,2004-02-23,19-055,CLE,NOH,W (+4),36:00,7,16,0.438,1,5,0.2,6,6,1.0,0,4,4,6,2,5,1,21,21.3,4,W,4
56,2004-02-27,19-059,CLE,ORL,W (+5),49:00,11,19,0.579,1,1,1.0,7,8,0.875,1,10,11,3,3,1,5,30,24.8,7,W,5
59,2004-03-05,19-066,CLE,NOH,W (+3),37:00,7,17,0.412,2,2,1.0,3,4,0.75,2,4,6,4,2,0,4,19,10.9,1,W,3
63,2004-03-14,19-075,CLE,IND,W (+3),44:00,12,22,0.545,0,2,0.0,2,4,0.5,0,3,3,4,3,1,4,26,16.8,5,W,3
69,2004-03-27,19-088,CLE,NJN,W (+3),43:00,15,29,0.517,1,2,0.5,10,10,1.0,2,4,6,13,3,0,2,41,39.0,10,W,3
73,2004-04-03,19-095,CLE,GSW,L (-3),46:00,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,34,26.5,-3,L,3
74,2004-04-06,19-098,CLE,TOR,L (-1),46:00,5,17,0.294,0,0,,11,14,0.786,1,5,6,4,3,0,3,21,14.1,2,L,1
78,2004-04-12,19-104,CLE,MIL,W (+4),45:00,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,27,24.8,11,W,4
1,2004-11-03,19-309,CLE,IND,L (-5),50:00,8,19,0.421,2,5,0.4,10,12,0.833,1,4,5,8,1,3,6,28,20.9,-10,L,5
