wl,point_difference,date,team,three,fta,orb,ast,stl,blk,pts
L,4,2003/11/5,CLE,0,1,2,7,2,3,7
L,1,2003/11/7,CLE,1,7,0,3,0,0,23
L,5,2003/11/12,CLE,2,6,1,7,2,1,18
W,3,2003/11/15,CLE,0,4,0,8,1,2,22
L,4,2003/11/28,CLE,0,3,0,7,0,0,6
L,4,2003/12/17,CLE,2,2,0,3,0,0,17
L,3,2003/12/30,CLE,0,6,2,4,0,0,22
W,1,2004/1/26,CLE,1,2,0,3,0,2,16
W,1,2004/1/28,CLE,0,10,0,4,2,1,27
W,4,2004/2/1,CLE,1,11,3,4,0,2,38
W,3,2004/2/3,CLE,0,2,1,6,2,0,12
L,5,2004/2/4,CLE,4,5,0,4,0,0,32
W,2,2004/2/20,CLE,0,4,2,2,2,1,32
W,4,2004/2/23,CLE,1,6,0,6,2,5,21
W,5,2004/2/27,CLE,1,8,1,3,3,1,30
W,3,2004/3/5,CLE,2,4,2,4,2,0,19
W,3,2004/3/14,CLE,0,4,0,4,3,1,26
W,3,2004/3/27,CLE,1,10,2,13,3,0,41
L,3,2004/4/3,CLE,3,11,3,10,1,1,34
L,1,2004/4/6,CLE,0,14,1,4,3,0,21
W,4,2004/4/12,CLE,1,11,1,9,2,0,27
L,5,2004/11/3,CLE,2,12,1,8,1,3,28
W,5,2004/11/10,CLE,1,12,3,6,3,3,38
W,2,2004/11/26,CLE,0,3,0,8,3,1,20
L,2,2004/12/22,CLE,1,10,1,9,1,0,23
W,2,2005/1/11,CLE,2,7,1,9,2,1,29
L,4,2005/1/13,CLE,1,4,3,9,1,1,28
W,3,2005/1/26,CLE,4,4,1,15,3,2,27
L,3,2005/2/1,CLE,0,13,2,7,0,1,28
L,5,2005/2/11,CLE,1,12,2,6,1,0,35
L,2,2005/2/28,CLE,1,10,1,7,0,0,20
W,1,2005/3/28,CLE,3,11,2,3,4,0,44
L,5,2005/4/8,CLE,2,11,4,7,5,0,37
L,3,2005/4/17,CLE,2,14,3,6,0,1,37
W,3,2005/11/19,CLE,0,10,2,10,1,1,36
L,4,2005/11/26,CLE,6,6,2,2,4,0,38
W,5,2005/12/6,CLE,1,12,2,6,2,3,30
L,5,2005/12/10,CLE,5,10,0,7,2,0,52
W,5,2005/12/23,CLE,0,11,1,9,1,0,14
L,5,2005/12/27,CLE,1,9,1,8,2,0,31
L,1,2006/1/12,CLE,2,9,0,9,0,0,28
L,2,2006/1/15,CLE,1,11,2,7,1,3,29
L,1,2006/1/18,CLE,2,15,2,9,0,0,24
W,4,2006/1/27,CLE,1,8,1,9,3,1,30
L,5,2006/2/4,CLE,2,10,2,6,2,1,31
W,3,2006/2/6,CLE,2,4,0,12,0,2,22
W,4,2006/2/15,CLE,0,15,1,11,2,4,43
W,1,2006/3/2,CLE,0,13,2,8,0,1,33
W,1,2006/3/8,CLE,1,12,1,6,1,0,35
L,4,2006/3/14,CLE,0,8,1,5,0,2,36
W,1,2006/3/19,CLE,3,10,1,7,1,0,29
W,2,2006/3/22,CLE,1,23,0,12,0,1,37
W,2,2006/3/26,CLE,0,11,3,5,2,0,36
W,4,2006/4/2,CLE,2,9,1,8,1,2,35
L,2,2006/4/5,CLE,4,14,0,7,3,0,36
W,2,2006/4/10,CLE,0,12,1,6,0,0,32
W,3,2006/11/1,CLE,2,6,3,5,0,2,26
L,4,2006/11/4,CLE,1,10,4,7,0,1,16
W,1,2006/11/11,CLE,1,23,1,5,3,0,38
W,3,2006/11/21,CLE,1,1,0,9,3,1,15
L,3,2006/11/29,CLE,0,11,1,6,0,1,27
W,4,2006/12/6,CLE,1,5,1,10,1,0,26
W,3,2006/12/13,CLE,0,11,1,7,1,1,22
L,2,2006/12/20,CLE,1,21,0,8,2,1,37
W,3,2006/12/23,CLE,2,10,0,1,0,0,32
W,4,2007/1/2,CLE,0,11,0,5,2,0,19
